"","studyid","intid","int_type","spp","year","species","phenofreq","short_site","terrestrial","phenovalue","newyear","yr1981"
"989","HMK035",192,"predation","spp1",1951,"Acartia hudsonica","daily","rhode","aquatic",225.074,1951,-30
"990","HMK035",192,"predation","spp1",1973,"Acartia hudsonica","daily","rhode","aquatic",210.966,1973,-8
"991","HMK035",192,"predation","spp1",1976,"Acartia hudsonica","daily","rhode","aquatic",192.231,1976,-5
"992","HMK035",192,"predation","spp1",2000,"Acartia hudsonica","daily","rhode","aquatic",185.721,2000,19
"993","HMK035",192,"predation","spp1",2001,"Acartia hudsonica","daily","rhode","aquatic",184.835,2001,20
"994","HMK035",192,"predation","spp1",2002,"Acartia hudsonica","daily","rhode","aquatic",169.546,2002,21
"995","HMK035",192,"predation","spp1",2003,"Acartia hudsonica","daily","rhode","aquatic",196.668,2003,22
"996","HMK035",192,"predation","spp1",2004,"Acartia hudsonica","daily","rhode","aquatic",183.075,2004,23
"1","EMW001",1,"predation","spp1",1951,"Acartia tonsa","daily","rhode","aquatic",154.875,1951,-30
"2","EMW001",1,"predation","spp1",1972,"Acartia tonsa","daily","rhode","aquatic",176,1972,-9
"3","EMW001",1,"predation","spp1",1973,"Acartia tonsa","daily","rhode","aquatic",173.083,1973,-8
"4","EMW001",1,"predation","spp1",1976,"Acartia tonsa","daily","rhode","aquatic",178.875,1976,-5
"5","EMW001",1,"predation","spp1",1983,"Acartia tonsa","daily","rhode","aquatic",177.875,1983,2
"6","EMW001",1,"predation","spp1",2002,"Acartia tonsa","daily","rhode","aquatic",169.25,2002,21
"1837","HMK048",214,"predation","spp2",1985,"Accipiter nisus","weekly","netherlands","terrestrial",85.0816,1985,4
"1853","HMK048",215,"predation","spp2",1985,"Accipiter nisus","weekly","netherlands","terrestrial",85.0816,1985,4
"1869","HMK048",216,"predation","spp2",1985,"Accipiter nisus","weekly","netherlands","terrestrial",85.0816,1985,4
"1885","HMK048",217,"predation","spp2",1985,"Accipiter nisus","weekly","netherlands","terrestrial",85.0816,1985,4
"1838","HMK048",214,"predation","spp2",1986,"Accipiter nisus","weekly","netherlands","terrestrial",84.4399,1986,5
"1854","HMK048",215,"predation","spp2",1986,"Accipiter nisus","weekly","netherlands","terrestrial",84.4399,1986,5
"1870","HMK048",216,"predation","spp2",1986,"Accipiter nisus","weekly","netherlands","terrestrial",84.4399,1986,5
"1886","HMK048",217,"predation","spp2",1986,"Accipiter nisus","weekly","netherlands","terrestrial",84.4399,1986,5
"1839","HMK048",214,"predation","spp2",1987,"Accipiter nisus","weekly","netherlands","terrestrial",81.1664,1987,6
"1855","HMK048",215,"predation","spp2",1987,"Accipiter nisus","weekly","netherlands","terrestrial",81.1664,1987,6
"1871","HMK048",216,"predation","spp2",1987,"Accipiter nisus","weekly","netherlands","terrestrial",81.1664,1987,6
"1887","HMK048",217,"predation","spp2",1987,"Accipiter nisus","weekly","netherlands","terrestrial",81.1664,1987,6
"1840","HMK048",214,"predation","spp2",1988,"Accipiter nisus","weekly","netherlands","terrestrial",80.5268,1988,7
"1856","HMK048",215,"predation","spp2",1988,"Accipiter nisus","weekly","netherlands","terrestrial",80.5268,1988,7
